blue0,blue1,blue2,blue3,blue4,blue5,blue6,blue7,blue8,blue9,blue10,blue11,blue12,blue13,blue14,blue15,blue16,blue17,blue18,blue19,blue20,green0,green1,green2,green3,green4,green5,green6,green7,green8,green9,green10,green11,green12,green13,green14,green15,green16,green17,green18,green19,green20,red0,red1,red2,red3,red4,red5,red6,red7,red8,red9,red10,red11,red12,red13,red14,red15,red16,red17,red18,red19,red20,number_of_pic,x_1,x_2,y_1,y_2,weed/not weed
0.0,18.0,527.0,1942.0,4726.0,30578.0,39921.0,5536.0,126.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,821.0,3552.0,21176.0,46542.0,11079.0,84.0,51.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,527.0,1942.0,4726.0,30578.0,39921.0,5536.0,126.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,322.0,0,259.2,0
0.0,1207.0,3327.0,11089.0,20471.0,27780.0,12502.0,5342.0,1438.0,172.0,45.0,7.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,1401.0,4584.0,11564.0,21764.0,22255.0,8889.0,3909.0,695.0,781.0,873.0,1184.0,1602.0,1499.0,1482.0,401.0,255.0,18.0,0.0,0.0,0.0,1207.0,3327.0,11089.0,20471.0,27780.0,12502.0,5342.0,1438.0,172.0,45.0,7.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,322.0,259.2,518.4,1
0.0,2734.0,16566.0,21587.0,19789.0,13367.0,6838.0,2188.0,150.0,59.0,22.0,34.0,18.0,17.0,22.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,385.0,2966.0,8500.0,14677.0,16714.0,10946.0,5813.0,2636.0,3413.0,5010.0,4052.0,3399.0,2662.0,1124.0,813.0,226.0,62.0,0.0,0.0,0.0,0.0,2734.0,16566.0,21587.0,19789.0,13367.0,6838.0,2188.0,150.0,59.0,22.0,34.0,18.0,17.0,22.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0,322.0,518.4,777.5999999999999,1
0.0,807.0,10712.0,21234.0,22297.0,16332.0,6494.0,2368.0,1241.0,628.0,528.0,266.0,129.0,143.0,95.0,74.0,48.0,2.0,0.0,0.0,0.0,0.0,0.0,536.0,2533.0,9056.0,17583.0,13493.0,8184.0,5180.0,4833.0,7010.0,6814.0,4683.0,2097.0,1088.0,288.0,20.0,0.0,0.0,0.0,0.0,0.0,807.0,10712.0,21234.0,22297.0,16332.0,6494.0,2368.0,1241.0,628.0,528.0,266.0,129.0,143.0,95.0,74.0,48.0,2.0,0.0,0.0,0.0,0,0,322.0,777.5999999999999,1036.8,1
0.0,64.0,1369.0,14350.0,14435.0,21514.0,18384.0,9985.0,2776.0,409.0,113.0,64.0,102.0,64.0,15.0,28.0,7.0,6.0,9.0,3.0,23.0,0.0,0.0,204.0,1727.0,14355.0,18597.0,25117.0,14974.0,4345.0,842.0,555.0,697.0,740.0,715.0,435.0,382.0,35.0,0.0,0.0,0.0,0.0,0.0,64.0,1369.0,14350.0,14435.0,21514.0,18384.0,9985.0,2776.0,409.0,113.0,64.0,102.0,64.0,15.0,28.0,7.0,6.0,9.0,3.0,23.0,0,0,322.0,1036.8,1296.0,1
0.0,156.0,2175.0,4922.0,11859.0,32462.0,26589.0,5110.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,2169.0,7154.0,24922.0,37895.0,9981.0,441.0,176.0,113.0,116.0,110.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,2175.0,4922.0,11859.0,32462.0,26589.0,5110.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,322.0,644.0,0,259.2,0
0.0,2239.0,6363.0,10921.0,19564.0,25467.0,14772.0,3197.0,750.0,101.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1726.0,5315.0,9188.0,15989.0,15958.0,7323.0,2888.0,2033.0,2257.0,2555.0,3947.0,3890.0,5587.0,3999.0,695.0,21.0,0.0,0.0,0.0,0.0,2239.0,6363.0,10921.0,19564.0,25467.0,14772.0,3197.0,750.0,101.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,322.0,644.0,259.2,518.4,1
0.0,4603.0,11848.0,18856.0,22175.0,16681.0,7313.0,1842.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.0,3277.0,6660.0,12350.0,18655.0,12330.0,5611.0,2664.0,2567.0,2773.0,3228.0,4349.0,4595.0,2646.0,1105.0,207.0,0.0,0.0,0.0,0.0,0.0,4603.0,11848.0,18856.0,22175.0,16681.0,7313.0,1842.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,322.0,644.0,518.4,777.5999999999999,1
0.0,582.0,6578.0,20309.0,23315.0,21840.0,8222.0,1879.0,280.0,95.0,88.0,58.0,33.0,34.0,16.0,20.0,8.0,9.0,2.0,10.0,20.0,0.0,0.0,574.0,2330.0,8296.0,19022.0,19005.0,7409.0,3519.0,4152.0,6778.0,5555.0,4024.0,2310.0,390.0,18.0,12.0,4.0,0.0,0.0,0.0,0.0,582.0,6578.0,20309.0,23315.0,21840.0,8222.0,1879.0,280.0,95.0,88.0,58.0,33.0,34.0,16.0,20.0,8.0,9.0,2.0,10.0,20.0,0,322.0,644.0,777.5999999999999,1036.8,1
0.0,762.0,2927.0,14331.0,10374.0,12989.0,20303.0,17013.0,4584.0,378.0,46.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,1060.0,6479.0,15682.0,13977.0,21093.0,21180.0,3644.0,207.0,94.0,87.0,66.0,47.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762.0,2927.0,14331.0,10374.0,12989.0,20303.0,17013.0,4584.0,378.0,46.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,322.0,644.0,1036.8,1296.0,1
